Reading,Load [N],Travel [mm],Time
510,-0.1,-24.68,22.46
511,-0.1,-24.76,22.54
512,-0.1,-24.78,22.56
513,-0.1,-24.86,22.608
514,-0.1,-24.86,22.622
515,-0.1,-24.9,22.681
516,-0.1,-24.96,22.7
517,-0.1,-25,22.761
518,-0.1,-25.06,22.781
519,-0.1,-25.12,22.84
520,-0.1,-25.14,22.86
521,-0.1,-25.22,22.92
522,-0.1,-25.24,22.941
523,-0.1,-25.28,22.988
524,-0.1,-25.32,23.002
525,-0.1,-25.36,23.06
526,-0.1,-25.38,23.08
527,-0.1,-25.46,23.146
528,-0.1,-25.5,23.16
529,-0.1,-25.56,23.22
530,-0.1,-25.6,23.24
531,-0.1,-25.66,23.3
532,-0.1,-25.66,23.32
533,-0.1,-25.74,23.382
534,-0.1,-25.78,23.4
535,-0.1,-25.84,23.48
536,-0.1,-25.9,23.5
537,-0.1,-25.98,23.56
538,-0.1,-26,23.58
539,-0.1,-26.08,23.641
540,-0.1,-26.08,23.66
541,-0.1,-26.16,23.725
542,-0.1,-26.18,23.74
543,-0.1,-26.26,23.821
544,-0.1,-26.28,23.84
545,-0.1,-26.4,23.949
546,-0.1,-26.44,23.967
547,-0.1,-26.56,24.061
548,0,-26.56,24.08
549,-0.1,-26.68,24.171
550,-0.1,-26.68,24.186
551,-0.1,-26.76,24.26
552,-0.1,-26.78,24.28
553,-0.1,-26.86,24.34
554,-0.1,-26.88,24.36
555,-0.1,-26.96,24.408
556,-0.1,-26.96,24.422
557,-0.1,-27.04,24.481
558,-0.1,-27.06,24.5
559,-0.1,-27.12,24.544
560,-0.1,-27.14,24.56
561,-0.1,-27.2,24.608
562,-0.1,-27.22,24.624
563,-0.1,-27.3,24.72
564,-0.1,-27.34,24.74
565,-0.1,-27.44,24.828
566,-0.1,-27.44,24.845
567,-0.1,-27.54,24.921
568,-0.1,-27.58,24.94
569,-0.1,-27.66,25.01
570,-0.1,-27.68,25.026
571,-0.1,-27.72,25.08
572,-0.1,-27.76,25.1
573,-0.1,-27.86,25.182
574,-0.1,-27.88,25.2
575,-0.1,-27.98,25.286
576,-0.1,-28,25.3
577,-0.1,-28.1,25.39
578,-0.1,-28.1,25.407
579,0,-28.24,25.5
580,0,-28.24,25.52
581,0,-28.34,25.6
582,0,-28.36,25.62
583,-0.1,-28.46,25.704
584,0,-28.48,25.72
585,-0.1,-28.6,25.82
586,-0.1,-28.62,25.84
587,-0.1,-28.72,25.928
588,0,-28.74,25.943
589,-0.1,-28.84,26.04
590,0,-28.86,26.061
591,0,-28.94,26.125
592,0,-28.98,26.14
593,-0.1,-29.02,26.186
594,-0.1,-29.04,26.201
595,-0.1,-29.1,26.26
596,-0.1,-29.14,26.281
597,-0.1,-29.2,26.34
598,-0.1,-29.22,26.361
599,-0.1,-29.32,26.441
600,-0.1,-29.36,26.46
601,-0.1,-29.4,26.52
602,-0.1,-29.42,26.54
603,-0.1,-29.54,26.62
604,0,-29.56,26.64
605,-0.1,-29.66,26.728
606,0,-29.68,26.744
607,-0.1,-29.78,26.84
608,0,-29.8,26.86
609,0,-29.88,26.92
610,0,-29.88,26.94
611,-0.1,-29.98,27.02
612,-0.1,-30.02,27.04
613,-0.1,-30.14,27.128
614,0,-30.14,27.144
615,-0.1,-30.24,27.24
616,-0.1,-30.26,27.26
617,-0.1,-30.36,27.343
618,-0.1,-30.4,27.361
619,-0.1,-30.46,27.44
620,0,-30.5,27.461
621,-0.1,-30.6,27.541
622,-0.1,-30.62,27.56
623,-0.1,-30.72,27.64
624,-0.1,-30.74,27.66
625,-0.1,-30.82,27.74
626,-0.1,-30.86,27.76
627,-0.1,-30.92,27.82
628,-0.1,-30.96,27.84
629,-0.1,-31,27.888
630,-0.1,-31.02,27.902
631,-0.2,-31.08,27.96
632,-0.2,-31.1,27.981
633,-0.2,-31.18,28.028
634,-0.2,-31.2,28.042
635,-0.2,-31.26,28.1
636,-0.2,-31.28,28.121
637,-0.1,-31.36,28.18
638,-0.1,-31.36,28.2
639,-0.1,-31.44,28.244
640,-0.1,-31.44,28.261
641,-0.1,-31.52,28.32
642,-0.1,-31.54,28.34
643,0,-31.58,28.388
644,0,-31.62,28.402
645,0,-31.66,28.46
646,-0.1,-31.68,28.48
647,0,-31.76,28.528
648,-0.1,-31.76,28.544
649,-0.1,-31.82,28.6
650,-0.1,-31.86,28.62
651,-0.1,-31.92,28.666
652,-0.1,-31.94,28.68
653,-0.1,-32,28.741
654,-0.1,-32.02,28.76
655,-0.1,-32.1,28.82
656,-0.1,-32.12,28.84
657,-0.1,-32.18,28.888
658,-0.1,-32.2,28.902
659,-0.1,-32.24,28.96
660,0,-32.28,28.98
661,-0.1,-32.38,29.08
662,-0.1,-32.42,29.1
663,-0.1,-32.52,29.2
664,-0.1,-32.56,29.22
665,-0.1,-32.66,29.3
666,-0.1,-32.68,29.32
667,-0.1,-32.76,29.4
668,-0.1,-32.78,29.42
669,-0.1,-32.88,29.501
670,-0.1,-32.9,29.52
671,-0.1,-33,29.6
672,-0.1,-33.04,29.62
673,-0.1,-33.12,29.686
674,-0.1,-33.14,29.7
675,-0.1,-33.16,29.74
676,-0.1,-33.18,29.76
677,-0.1,-33.26,29.821
678,-0.1,-33.28,29.84
679,-0.1,-33.4,29.941
680,-0.1,-33.42,29.96
681,-0.1,-33.52,30.03
682,-0.1,-33.52,30.046
683,-0.1,-33.6,30.106
684,-0.2,-33.62,30.122
685,-0.1,-33.68,30.18
686,-0.2,-33.7,30.2
687,-0.2,-33.8,30.281
688,-0.2,-33.82,30.3
689,-0.1,-33.92,30.38
690,-0.1,-33.94,30.4
691,-0.2,-34.06,30.5
692,-0.2,-34.08,30.52
693,-0.2,-34.16,30.58
694,-0.2,-34.18,30.6
695,-0.2,-34.22,30.645
696,-0.2,-34.26,30.66
697,-0.2,-34.3,30.72
698,-0.2,-34.34,30.741
699,-0.2,-34.4,30.801
700,-0.2,-34.44,30.82
701,-0.2,-34.5,30.88
702,-0.2,-34.54,30.901
703,-0.2,-34.58,30.961
704,-0.2,-34.62,30.98
705,-0.2,-34.68,31.042
706,-0.2,-34.72,31.06
707,-0.2,-34.78,31.121
708,-0.2,-34.78,31.14
709,-0.2,-34.88,31.206
710,-0.2,-34.88,31.222
711,-0.2,-34.96,31.284
712,-0.2,-35,31.3
713,-0.2,-35.04,31.342
714,-0.2,-35.06,31.36
715,-0.2,-35.12,31.421
716,-0.2,-35.16,31.44
717,-0.2,-35.22,31.5
718,-0.2,-35.24,31.52
719,-0.2,-35.3,31.581
720,-0.2,-35.34,31.6
721,-0.2,-35.4,31.66
722,-0.2,-35.42,31.68
723,-0.2,-35.5,31.728
724,-0.2,-35.5,31.742
725,-0.2,-35.58,31.8
726,-0.2,-35.6,31.82
727,-0.2,-35.66,31.869
728,-0.2,-35.68,31.884
729,-0.2,-35.72,31.942
730,-0.2,-35.76,31.96
731,-0.2,-35.82,32.021
732,-0.2,-35.86,32.04
733,-0.2,-35.9,32.1
734,-0.2,-35.96,32.12
735,-0.2,-36.06,32.22
736,-0.2,-36.08,32.24
737,-0.2,-36.18,32.321
738,-0.2,-36.22,32.34
739,-0.2,-36.28,32.42
740,-0.2,-36.32,32.44
741,-0.2,-36.42,32.521
742,-0.2,-36.44,32.54
743,-0.2,-36.56,32.65
744,-0.2,-36.6,32.67
745,-0.2,-36.72,32.769
746,-0.2,-36.72,32.785
747,-0.2,-36.8,32.861
748,-0.2,-36.82,32.881
749,-0.2,-36.9,32.941
750,-0.2,-36.92,32.96
751,-0.3,-37.04,33.063
752,-0.3,-37.08,33.08
753,-0.2,-37.2,33.2
754,-0.2,-37.22,33.22
755,-0.2,-37.3,33.28
756,-0.3,-37.32,33.3
757,-0.2,-37.4,33.363
758,-0.2,-37.42,33.38
759,-0.2,-37.54,33.48
760,-0.2,-37.56,33.5
761,-0.2,-37.66,33.586
762,-0.2,-37.68,33.603
763,-0.2,-37.78,33.7
764,-0.2,-37.82,33.72
765,-0.2,-37.88,33.79
766,-0.2,-37.92,33.806
767,-0.2,-37.98,33.88
768,-0.2,-38.02,33.9
769,-0.2,-38.12,33.966
770,-0.2,-38.12,33.982
771,-0.2,-38.16,34.029
772,-0.2,-38.2,34.044
773,-0.2,-38.24,34.09
774,-0.2,-38.26,34.104
775,-0.2,-38.34,34.18
776,-0.2,-38.36,34.2
777,-0.2,-38.44,34.265
778,-0.2,-38.48,34.28
779,-0.2,-38.54,34.346
780,-0.2,-38.54,34.361
781,-0.2,-38.62,34.42
782,-0.2,-38.64,34.441
783,-0.2,-38.72,34.504
784,-0.2,-38.72,34.52
785,-0.2,-38.8,34.58
786,-0.2,-38.82,34.6
787,-0.2,-38.9,34.66
788,-0.2,-38.92,34.68
789,-0.2,-38.98,34.74
790,-0.2,-39.02,34.76
791,-0.2,-39.1,34.828
792,-0.2,-39.14,34.844
793,-0.2,-39.2,34.907
794,-0.2,-39.2,34.922
795,-0.2,-39.26,34.968
796,-0.2,-39.28,34.982
797,-0.2,-39.34,35.04
798,-0.2,-39.36,35.061
799,-0.3,-39.54,35.2
800,-0.3,-39.56,35.221
801,-0.3,-39.66,35.303
802,-0.2,-39.66,35.32
803,-0.3,-39.76,35.401
804,-0.2,-39.8,35.42
805,-0.2,-39.86,35.501
806,-0.2,-39.92,35.52
807,-0.2,-40,35.588
808,-0.2,-40.02,35.604
809,-0.2,-40.1,35.688
810,-0.2,-40.12,35.705
811,-0.2,-40.22,35.78
812,-0.2,-40.24,35.8
813,-0.2,-40.36,35.889
814,-0.2,-40.36,35.903
815,-0.2,-40.42,35.96
816,-0.2,-40.46,35.98
