Reading,Load [N],Travel [mm],Time
1741,0.2,-35.94,88.14
1742,0.2,-35.94,88.16
1743,0.2,-35.94,88.22
1744,0.2,-35.94,88.241
1745,0.2,-35.94,88.288
1746,0.2,-35.94,88.306
1747,0.2,-35.94,88.36
1748,0.2,-35.94,88.38
1749,0.2,-35.94,88.44
1750,0.2,-35.94,88.461
1751,0.2,-35.94,88.506
1752,0.2,-35.94,88.527
1753,0.2,-35.94,88.62
1754,0.2,-35.94,88.64
1755,0.2,-35.94,88.72
1756,0.2,-35.94,88.741
1757,0.2,-35.94,88.823
1758,0.2,-35.94,88.842
1759,0.2,-35.94,88.926
1760,0.2,-35.94,88.946
1761,0.2,-35.94,89.04
1762,0.2,-35.94,89.062
1763,0.2,-35.94,89.161
1764,0.2,-35.94,89.182
1765,0.2,-35.94,89.281
1766,0.2,-35.94,89.302
1767,0.2,-35.94,89.401
1768,0.2,-35.94,89.422
1769,0.2,-35.94,89.509
1770,0.2,-35.94,89.54
1771,0.2,-35.94,89.661
1772,0.2,-35.94,89.68
1773,0.2,-35.94,89.761
1774,0.2,-35.94,89.78
1775,0.2,-35.94,89.86
1776,0.2,-35.94,89.88
1777,0.2,-35.94,89.96
1778,0.2,-35.94,89.981
1779,0.2,-35.94,90.08
1780,0.2,-35.94,90.1
1781,0.2,-35.94,90.187
1782,0.2,-35.94,90.206
1783,0.2,-35.94,90.3
1784,0.2,-35.94,90.32
1785,0.2,-35.94,90.441
1786,0.2,-35.94,90.464
1787,0.2,-35.94,90.581
1788,0.2,-35.94,90.604
1789,0.2,-35.94,90.72
1790,0.2,-35.94,90.743
1791,0.2,-35.94,90.86
1792,0.2,-35.94,90.885
1793,0.2,-35.94,91.02
1794,0.2,-35.94,91.042
1795,0.2,-35.94,91.201
1796,0.2,-35.94,91.22
1797,0.2,-35.94,91.301
1798,0.2,-35.94,91.32
1799,0.2,-35.94,91.4
1800,0.2,-35.94,91.42
1801,0.2,-35.94,91.507
1802,0.2,-35.94,91.526
1803,0.2,-35.94,91.62
1804,0.2,-35.94,91.641
1805,0.2,-35.94,91.741
1806,0.2,-35.94,91.764
1807,0.2,-35.94,91.96
1808,0.2,-35.94,91.986
1809,0.2,-35.94,92.181
1810,0.2,-35.94,92.206
1811,0.2,-35.94,92.341
1812,0.2,-35.94,92.481
1813,0.2,-35.94,92.5
1814,0.2,-35.94,92.584
1815,0.2,-35.94,92.604
1816,0.2,-35.94,92.7
1817,0.2,-35.94,92.72
1818,0.2,-35.94,92.805
1819,0.2,-35.94,92.826
1820,0.2,-35.94,92.904
