Reading,Load [N],Travel [mm],Time
781,0,-33.78,30.299
782,0,-33.84,30.379
783,0,-33.88,30.399
784,0,-34.06,30.54
785,0,-34.08,30.559
786,0,-34.16,30.639
787,0,-34.18,30.659
788,-0.1,-34.28,30.739
789,0,-34.3,30.76
790,0,-34.4,30.843
791,0,-34.4,30.859
792,-0.1,-34.5,30.94
793,0,-34.54,30.959
794,-0.1,-34.66,31.064
795,-0.1,-34.68,31.079
796,-0.1,-34.76,31.159
797,-0.1,-34.78,31.179
798,-0.1,-34.88,31.259
799,-0.1,-34.92,31.28
800,-0.1,-35,31.359
801,-0.1,-35.02,31.379
802,-0.1,-35.12,31.459
803,-0.1,-35.14,31.479
804,-0.1,-35.24,31.549
805,-0.1,-35.24,31.565
806,0,-35.32,31.64
807,-0.1,-35.34,31.659
808,-0.1,-35.42,31.721
809,-0.1,-35.44,31.739
810,-0.1,-35.52,31.799
811,-0.1,-35.54,31.82
812,-0.1,-35.6,31.865
813,-0.1,-35.62,31.879
814,-0.1,-35.68,31.939
815,-0.1,-35.7,31.959
816,-0.1,-35.78,32.019
817,0,-35.8,32.04
818,0,-35.86,32.087
819,0,-35.88,32.101
820,0,-35.94,32.159
821,0,-35.96,32.179
822,-0.2,-36.04,32.239
823,-0.3,-36.06,32.259
824,-0.1,-36.1,32.305
825,-0.1,-36.14,32.319
826,-0.2,-36.18,32.379
827,-0.1,-36.24,32.399
828,-0.2,-36.34,32.503
829,-0.2,-36.36,32.519
830,-0.2,-36.44,32.582
831,-0.2,-36.46,32.599
832,-0.1,-36.54,32.679
833,-0.2,-36.56,32.699
834,-0.2,-36.64,32.759
835,-0.2,-36.66,32.78
836,-0.2,-36.74,32.839
837,-0.2,-36.76,32.859
838,-0.2,-36.82,32.919
839,-0.2,-36.84,32.939
840,-0.2,-36.94,33.02
841,-0.2,-36.98,33.04
842,-0.2,-37.04,33.099
843,-0.2,-37.04,33.119
844,-0.1,-37.16,33.199
845,-0.1,-37.18,33.219
846,-0.1,-37.28,33.303
847,-0.1,-37.3,33.32
848,-0.1,-37.38,33.389
849,-0.1,-37.4,33.405
850,-0.1,-37.5,33.499
851,-0.1,-37.54,33.519
852,-0.1,-37.66,33.639
853,-0.1,-37.7,33.659
854,-0.1,-37.84,33.78
855,-0.1,-37.84,33.8
856,-0.1,-37.98,33.903
857,-0.1,-37.98,33.923
858,-0.1,-38.08,34.007
859,-0.1,-38.12,34.025
860,-0.2,-38.26,34.139
861,-0.2,-38.26,34.159
862,-0.2,-38.4,34.28
863,-0.2,-38.44,34.299
864,-0.2,-38.54,34.399
865,-0.2,-38.58,34.419
866,-0.2,-38.7,34.519
867,-0.2,-38.72,34.54
868,-0.2,-38.86,34.66
869,-0.2,-38.88,34.679
870,-0.2,-39.02,34.809
871,-0.2,-39.06,34.827
872,-0.2,-39.18,34.939
873,-0.2,-39.2,34.96
874,-0.2,-39.34,35.066
875,-0.2,-39.36,35.085
876,-0.2,-39.44,35.159
877,-0.2,-39.46,35.18
878,-0.2,-39.54,35.239
879,-0.2,-39.54,35.259
880,-0.2,-39.7,35.381
881,-0.4,-39.72,35.4
882,-0.2,-39.84,35.501
883,-0.2,-39.86,35.519
884,-0.2,-40,35.625
885,-0.2,-40,35.643
886,-0.2,-40.14,35.759
887,-0.2,-40.18,35.779
888,-0.2,-40.28,35.88
